1,Python,"Lenguaje multiparadigma usado para desarrollo web, data science, automatización, etc."
2,Java,"Lenguaje robusto usado en aplicaciones empresariales y sistemas backend."
3,C++,"Utilizado en aplicaciones de alto rendimiento y desarrollo de software de sistemas."
4,JavaScript,"Lenguaje esencial para el desarrollo web y aplicaciones interactivas."
5,HTML/CSS,"Tecnologías básicas para la estructuración y diseño de sitios web."
6,SQL,"Lenguaje estándar para la gestión de bases de datos relacionales."
7,Docker,"Despliegue y gestión de contenedores."
8,Kubernetes,"Escalado y administración de aplicaciones en contenedores."
9,Ruby, "Conocido por su sintaxis legible."
10,PHP,"Utilizado principalmente en el desarrollo web del lado del servidor."
11,R,"Orientado al análisis estadístico y visualización de datos."
12,Swift,"Lenguaje para el desarrollo de aplicaciones iOS y macOS."
13,Kotlin,"Lenguaje moderno para el desarrollo de aplicaciones Android."
14,GraphQL,"Permite realizar consultas flexibles y eficientes a través de APIs."
15,TypeScript,"Superset de JavaScript que añade tipado estático para mejorar el desarrollo."
16,C#,"Principalmente usado en el ecosistema .NET."
17,MATLAB,"Utilizado para análisis numérico, visualización y programación científica."
18,SAS,"Software para análisis avanzado de datos y estadística."
19,Tableau,"Herramienta para crear dashboards y reportes interactivos."
20,Dart,"Lenguaje de propósito global desarrollado por Google"